Country,Code,Year,Percentage
Africa,,2021,9.555876
Africa (BP),,2021,9.574978
Algeria,DZA,2021,0.26136735
Argentina,ARG,2021,11.329249
Asia,,2021,10.954556
Asia Pacific (BP),,2021,12.723151
Australia,AUS,2021,12.933532
Austria,AUT,2021,37.481792
Azerbaijan,AZE,2021,2.2015429
Bangladesh,BGD,2021,0.6501469
Belarus,BLR,2021,0.9698578
Belgium,BEL,2021,9.336409
Brazil,BRA,2021,46.21975
Bulgaria,BGR,2021,11.486526
CIS (BP),,2021,6.473814
Canada,CAN,2021,29.88844
Central America (BP),,2021,31.522322
Chile,CHL,2021,26.518875
China,CHN,2021,14.946244
Colombia,COL,2021,33.02041
Croatia,HRV,2021,28.271935
Czechia,CZE,2021,6.497798
Denmark,DNK,2021,39.24958
Eastern Africa (BP),,2021,35.91689
Ecuador,ECU,2021,32.3542
Egypt,EGY,2021,6.230571
Estonia,EST,2021,14.325047
Europe,,2021,15.235615
Europe (BP),,2021,19.740942
European Union (27),,2021,18.567877
Finland,FIN,2021,34.61129
France,FRA,2021,13.671011
Germany,DEU,2021,19.453121
Greece,GRC,2021,19.391674
High-income countries,,2021,12.304638
Hong Kong,HKG,2021,0.108698964
Hungary,HUN,2021,6.819573
Iceland,ISL,2021,86.874535
India,IND,2021,9.31085
Indonesia,IDN,2021,10.385715
Iran,IRN,2021,1.2903937
Iraq,IRQ,2021,1.502491
Ireland,IRL,2021,17.581884
Israel,ISR,2021,5.132294
Italy,ITA,2021,18.36226
Japan,JPN,2021,11.428995
Kazakhstan,KAZ,2021,3.988574
Latvia,LVA,2021,23.917372
Lithuania,LTU,2021,9.490351
Lower-middle-income countries,,2021,7.670769
Luxembourg,LUX,2021,7.095166
Malaysia,MYS,2021,8.059835
Mexico,MEX,2021,10.514754
Middle Africa (BP),,2021,29.66652
Middle East (BP),,2021,0.95469177
Morocco,MAR,2021,7.6361694
Netherlands,NLD,2021,12.3737955
New Zealand,NZL,2021,40.21865
Non-OECD (BP),,2021,12.454243
North America,,2021,11.45594
North America (BP),,2021,13.004936
North Macedonia,MKD,2021,14.82318
Norway,NOR,2021,71.558365
OECD (BP),,2021,15.086277
Oceania,,2021,16.36516
Pakistan,PAK,2021,10.622897
Peru,PER,2021,27.741009
Philippines,PHL,2021,10.90163
Poland,POL,2021,7.7616863
Portugal,PRT,2021,32.703953
Romania,ROU,2021,17.481031
Russia,RUS,2021,6.6202893
Slovakia,SVK,2021,9.82116
Slovenia,SVN,2021,18.768454
South Africa,ZAF,2021,3.408608
South America,,2021,32.356785
South Korea,KOR,2021,3.7249858
South and Central America (BP),,2021,33.634804
Spain,ESP,2021,22.341663
Sri Lanka,LKA,2021,21.404533
Sweden,SWE,2021,50.924007
Switzerland,CHE,2021,36.716644
Taiwan,TWN,2021,3.0361571
Thailand,THA,2021,7.113618
Trinidad and Tobago,TTO,2021,0.007159467
Turkey,TUR,2021,16.517044
Turkmenistan,TKM,2021,0.007483229
Ukraine,UKR,2021,6.1008415
United Kingdom,GBR,2021,17.946543
United States,USA,2021,10.655991
Upper-middle-income countries,,2021,14.183052
Uzbekistan,UZB,2021,2.6506786
Venezuela,VEN,2021,28.434155
Vietnam,VNM,2021,22.734407
Western Africa (BP),,2021,8.060245
World,OWID_WRL,2021,13.470907
