Country,Code,Year,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Total 
Afghanistan,AFG,2021,0,0.62,0.08,0,0.70
Algeria,DZA,2021,0.01,0.09,0.81,0,0.91
American Samoa,ASM,2021,0,0,0,0,0.00
Angola,AGO,2021,0,11.5,0.02,0.28,11.80
Antigua and Barbuda,ATG,2021,0,0,0.02,0,0.02
Argentina,ARG,2021,12.81,20.19,2.17,2.01,37.18
Armenia,ARM,2021,0,2.2,0.09,0,2.29
Aruba,ABW,2021,0.14,0,0.01,0,0.15
Australia,AUS,2021,26.09,14.76,28.04,3.09,71.98
Austria,AUT,2021,6.74,38.75,2.78,4.48,52.75
Azerbaijan,AZE,2021,0.09,1.28,0.05,0,1.42
Bahamas,BHS,2021,0,0,0,0,0.00
Bahrain,BHR,2021,0,0,0.01,0,0.01
Bangladesh,BGD,2021,0.01,0.88,0.47,0.03,1.39
Barbados,BRB,2021,0,0,0.08,0,0.08
Belarus,BLR,2021,0.19,0.39,0.18,0.55,1.31
Belgium,BEL,2021,12,0.42,5.62,4.69,22.73
Belize,BLZ,2021,0,0.08,0.01,0.17,0.26
Benin,BEN,2021,0,0,0.01,0,0.01
Bermuda,BMU,2021,0,0,0,,0.00
Bhutan,BTN,2021,0,9,0,0,9.00
Bolivia,BOL,2021,0.13,3.24,0.47,0.58,4.42
Bosnia and Herzegovina,BIH,2021,0.38,6.72,0.07,0.02,7.19
Botswana,BWA,2021,0,0,0.01,0,0.01
Brazil,BRA,2021,71.5,362.82,16.75,57.6,508.67
British Virgin Islands,VGB,2021,0,0,0,0,0.00
Brunei,BRN,2021,0,0,0,0,0.00
Bulgaria,BGR,2021,1.43,4.82,1.47,2.59,10.31
Burkina Faso,BFA,2021,0,0.11,0.12,0,0.23
Burundi,BDI,2021,0,0.22,0.01,0.01,0.24
Cambodia,KHM,2021,0,4,0.37,0.23,4.60
Cameroon,CMR,2021,0,5,0.02,0,5.02
Canada,CAN,2021,35.21,377.16,5.11,9.23,426.71
Cape Verde,CPV,2021,0.06,0,0.01,0,0.07
Cayman Islands,CYM,2021,0,0,0.02,0,0.02
Central African Republic,CAF,2021,0,0.15,0,0,0.15
Chad,TCD,2021,0.01,0,0,0,0.01
Chile,CHL,2021,7.21,16.48,10.79,8.4537115,42.93
China,CHN,2021,655.6,1300,327,169.93158,2452.53
Colombia,COL,2021,0.06,58.19,0.32,1.02,59.59
Comoros,COM,2021,0,0,0,0,0.00
Congo,COG,2021,0,0.9,0,0.07,0.97
Cook Islands,COK,2021,0,0,0.02,0,0.02
Costa Rica,CRI,2021,1.57,9.29,0.06,1.63,12.55
Cote d'Ivoire,CIV,2021,0,3.3,0.01,0,3.31
Croatia,HRV,2021,2.06,7.13,0.15,1.19,10.53
Cuba,CUB,2021,0.02,0.11,0.26,3.83,4.22
Cyprus,CYP,2021,0.25,0,0.47,0.06,0.78
Czechia,CZE,2021,0.6,2.41,2.32,5.38,10.71
Democratic Republic of Congo,COD,2021,0,11,0.01,0,11.01
Denmark,DNK,2021,16.05,0.02,1.31,8.72,26.10
Djibouti,DJI,2021,0,0,0,0,0.00
Dominica,DMA,2021,0,0.04,0,0,0.04
Dominican Republic,DOM,2021,1.29,1,0.53,0.2,3.02
Ecuador,ECU,2021,0.06,25.57,0.04,1.35,27.02
Egypt,EGY,2021,4.23,14,4.8,0,23.03
El Salvador,SLV,2021,0.01,2,1.11,2.1,5.22
Equatorial Guinea,GNQ,2021,0,0.44,0,0,0.44
Eritrea,ERI,2021,0,0,0.01,0,0.01
Estonia,EST,2021,0.73,0.02,0.35,1.77,2.87
Eswatini,SWZ,2021,0,0.25,0,0.45,0.70
Ethiopia,ETH,2021,0.61,14,0.04,0.03,14.68
Faeroe Islands,FRO,2021,0.05,0.11,0,0,0.16
Falkland Islands,FLK,2021,0.01,0,0,0,0.01
Fiji,FJI,2021,0,0.57,0.01,0.13,0.71
Finland,FIN,2021,8.18,15.79,0.3,13.58,37.85
France,FRA,2021,36.83,59.62,15.73,10.18,122.36
French Polynesia,PYF,2021,0,0.18,0.05,0,0.23
Gabon,GAB,2021,0,1,0,0.02,1.02
Gambia,GMB,2021,0,0,0,0,0.00
Georgia,GEO,2021,0.08,10.18,0,0,10.26
