Country,Produced
Afghanistan,0.7
Algeria,0.91
American Samoa,0
Angola,11.8
Antigua and Barbuda,0.02
Argentina,37.18
Armenia,2.29
Aruba,0.15
Australia,71.98
Austria,52.75
Azerbaijan,1.42
Bahamas,0
Bahrain,0.01
Bangladesh,1.39
Barbados,0.08
Belarus,1.31
Belgium,22.73
Belize,0.26
Benin,0.01
Bermuda,0
Bhutan,9
Bolivia,4.42
Bosnia and Herzegovina,7.19
Botswana,0.01
Brazil,508.67
British Virgin Islands,0
Brunei,0
Bulgaria,10.31
Burkina Faso,0.23
Burundi,0.24
Cambodia,4.6
Cameroon,5.02
Canada,426.71
Cape Verde,0.07
Cayman Islands,0.02
Central African Republic,0.15
Chad,0.01
Chile,42.93
China,2452.53
Colombia,59.59
Comoros,0
Congo,0.97
Cook Islands,0.02
Costa Rica,12.55
Cote d'Ivoire,3.31
Croatia,10.53
Cuba,4.22
Cyprus,0.78
Czechia,10.71
Democratic Republic of Congo,11.01
Denmark,26.1
Djibouti,0
Dominica,0.04
Dominican Republic,3.02
Ecuador,27.02
Egypt,23.03
El Salvador,5.22
Equatorial Guinea,0.44
Eritrea,0.01
Estonia,2.87
Eswatini,0.7
Ethiopia,14.68
Faeroe Islands,0.16
Falkland Islands,0.01
Fiji,0.71
Finland,37.85
France,122.36
French Polynesia,0.23
Gabon,1.02
Gambia,0
Georgia,10.26
Germany,230.8
Ghana,7.3
Gibraltar,0
Greece,22.13
Greenland,0.5
Grenada,0
Guam,0.08
Guatemala,9.61
Guinea,2.02
Guinea-Bissau,0
Guyana,0.16
Haiti,0.13
Honduras,6.23
Hong Kong,0.02
Hungary,6.91
Iceland,19.62
India,332.2
Indonesia,56.22
Iran,16.69
Iraq,5.28
Ireland,11.62
Israel,4.96
Italy,116.33
Jamaica,0.71
Japan,216.73
Jordan,5.15
Kazakhstan,14.2
Kenya,10.85
Kiribati,0
Kuwait,0.05
Kyrgyzstan,13
Laos,29.16
Latvia,3.72
Lebanon,1.16
Lesotho,0.5
Liberia,0.53
Libya,0.01
Lithuania,2.62
Luxembourg,0.99
Macao,0
Madagascar,0.72
Malawi,1.19
Malaysia,33.93
Maldives,0.05
Mali,1.22
Malta,0.22
Martinique,0
Mauritania,0.5
Mauritius,0.61
Mexico,80.65
Montenegro,2.31
Montserrat,0
Morocco,8.18
Mozambique,16.21
Myanmar,9.37
Namibia,1.5
Nauru,0
Nepal,6.12
Netherlands,40.47
New Caledonia,0.46
New Zealand,35.05
Nicaragua,2.53
Niger,0.05
Nigeria,8.07
Niue,0
North Korea,12.02
North Macedonia,1.17
Norway,150.47
Oman,0.16
Pakistan,44.66
Palestine,0.2
Panama,8.33
Papua New Guinea,1.29
Paraguay,39.95
Peru,35.24
Philippines,23.94
Poland,30.56
Portugal,31.55
Puerto Rico,0.51
Qatar,0.04
Romania,26.34
Russia,221.62
Rwanda,0.51
Saint Helena,0
Saint Kitts and Nevis,0.01
Saint Lucia,0
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0.04
Samoa,0.06
Sao Tome and Principe,0.01
Saudi Arabia,0.83
Senegal,1.13
Serbia,12.4
Seychelles,0.08
Sierra Leone,0.19
Singapore,1.11
Slovakia,7.06
Slovenia,5.44
Solomon Islands,0
Somalia,0.04
South Africa,16.88
South Korea,45.75
South Sudan,0.01
Spain,125.75
Sri Lanka,6.17
Sudan,10.97
Suriname,1.02
Sweden,115.74
Switzerland,40.11
Syria,0.76
Taiwan,15.65
Tajikistan,18
Tanzania,3.65
Thailand,27.11
Timor,0
Togo,0.17
Tonga,0.01
Trinidad and Tobago,0.01
Tunisia,1
Turkey,117.04
Turkmenistan,0
Turks and Caicos Islands,0
Uganda,4.27
Ukraine,21.86
United Arab Emirates,6.7
United Kingdom,122.2
United States of America,861.58
United States Virgin Islands,0.02
Uruguay,12.35
Uzbekistan,5.01
Vanuatu,0.02
Venezuela,61.1
Vietnam,104.22
Western Sahara,0
Yemen,0.6
Zambia,16.33
Zimbabwe,4.42
