Country,Year,Percentage
Afghanistan,2020,0
Albania,2020,0
Algeria,2020,0.29789943
Angola,2020,0
Antigua and Barbuda,2020,0
Argentina,2020,12.179417
Armenia,2020,0
Aruba,2020,0
Australia,2020,10.789811
Austria,2020,38.26067
Azerbaijan,2020,1.9758317
Bahamas,2020,0
Bahrain,2020,0
Bangladesh,2020,0.6580818
Barbados,2020,0
Belarus,2020,0.9897245
Belgium,2020,10.637791
Belize,2020,0
Benin,2020,0
Bermuda,2020,0
Bhutan,2020,0
Bosnia and Herzegovina,2020,0
Botswana,2020,0
Brazil,2020,49.47188
Bulgaria,2020,10.692997
Burkina Faso,2020,0
Burundi,2020,0
Cambodia,2020,0
Cameroon,2020,0
Canada,2020,30.54215
Cayman Islands,2020,0
Central African Republic,2020,0
Chad,2020,0
Chile,2020,26.557531
China,2020,14.242872
Colombia,2020,30.772787
Comoros,2020,0
Congo,2020,0
Costa Rica,2020,0
Croatia,2020,25.170088
Cuba,2020,0
Cyprus,2020,5.661981
Czechia,2020,6.691049
Denmark,2020,37.272453
Djibouti,2020,0
Dominica,2020,0
Dominican Republic,2020,0
Ecuador,2020,36.035774
Egypt,2020,6.564624
El Salvador,2020,0
Equatorial Guinea,2020,0
Eritrea,2020,0
Estonia,2020,14.138368
Eswatini,2020,0
Ethiopia,2020,0
Fiji,2020,0
Finland,2020,33.16851
France,2020,14.788747
Gabon,2020,0
Gambia,2020,0
Georgia,2020,0
Germany,2020,21.122828
Ghana,2020,0
Greece,2020,16.707697
Grenada,2020,0
Guatemala,2020,0
Guinea,2020,0
Guinea-Bissau,2020,0
Guyana,2020,0
Haiti,2020,0
Honduras,2020,0
Hungary,2020,5.8162417
Iceland,2020,86.836586
India,2020,9.730037
Indonesia,2020,9.8601465
Iraq,2020,1.646885
Ireland,2020,20.549843
Israel,2020,4.053859
Italy,2020,19.721262
Jamaica,2020,0
Japan,2020,11.155339
Jordan,2020,0
Kazakhstan,2020,3.9000363
Kenya,2020,0
Kiribati,2020,0
Kuwait,2020,0.036519468
Kyrgyzstan,2020,0
Latvia,2020,24.768972
Lebanon,2020,0
Lesotho,2020,0
Liberia,2020,0
Libya,2020,0
Lithuania,2020,10.144763
Luxembourg,2020,6.848767
Madagascar,2020,0
Malawi,2020,0
Malaysia,2020,7.1631722
Maldives,2020,0
Mali,2020,0
Malta,2020,0
Mauritania,2020,0
Mauritius,2020,0
Mexico,2020,9.475372
Mongolia,2020,0
Montenegro,2020,0
Morocco,2020,7.633952
Mozambique,2020,0
Myanmar,2020,0
Namibia,2020,0
Nauru,2020,0
Nepal,2020,0
Netherlands,2020,10.758958
New Caledonia,2020,0
New Zealand,2020,39.064182
Nicaragua,2020,0
Niger,2020,0
Nigeria,2020,0
North Macedonia,2020,14.441304
Norway,2020,70.96306
Oman,2020,0.2240027
Pakistan,2020,12.021025
Panama,2020,0
Papua New Guinea,2020,0
Paraguay,2020,0
Peru,2020,30.744228
Philippines,2020,11.04473
Poland,2020,7.769742
Portugal,2020,31.723911
Puerto Rico,2020,0
Qatar,2020,0.07569663
Romania,2020,17.57964
Rwanda,2020,0
Saint Kitts and Nevis,2020,0
Saint Lucia,2020,0
Saint Vincent and the Grenadines,2020,0
Samoa,2020,0
Sao Tome and Principe,2020,0
Saudi Arabia,2020,0.018463893
Senegal,2020,0
Serbia,2020,0
Seychelles,2020,0
Sierra Leone,2020,0
Singapore,2020,0.30993885
Slovakia,2020,10.48076
Slovenia,2020,19.160215
Solomon Islands,2020,0
Somalia,2020,0
South Africa,2020,3.150246
South Sudan,2020,0
Spain,2020,22.102654
Sri Lanka,2020,15.967422
Sudan,2020,0
Suriname,2020,0
Sweden,2020,51.05897
Switzerland,2020,36.21057
Tajikistan,2020,0
Thailand,2020,6.9914207
Togo,2020,0
Tonga,2020,0
Trinidad and Tobago,2020,0.007312009
Tunisia,2020,0
Turkey,2020,19.15011
Turkmenistan,2020,0.007161147
Tuvalu,2020,0
Uganda,2020,0
Ukraine,2020,4.8960786
United Arab Emirates,2020,1.0150354
United Kingdom,2020,20.078987
United States,2020,10.532232
Uruguay,2020,0
Uzbekistan,2020,2.523421
Vanuatu,2020,0
Yemen,2020,0
Zambia,2020,0
Zimbabwe,2020,0
