Year,Percentage
1965,6.4545183
1966,6.5335774
1967,6.435174
1968,6.397144
1969,6.346678
1970,6.2576427
1971,6.2873034
1972,6.251033
1973,5.9974813
1974,6.540394
1975,6.587483
1976,6.2476835
1977,6.237358
1978,6.489273
1979,6.596381
1980,6.8060145
1981,6.9877205
1982,7.1932316
1983,7.406497
1984,7.3390236
1985,7.3102527
1986,7.285367
1987,7.1527147
1988,7.114733
1989,6.9900603
1990,7.1784005
1991,7.305675
1992,7.2868786
1993,7.6548657
1994,7.6321387
1995,7.866311
1996,7.751967
1997,7.842729
1998,7.8813725
1999,7.840555
2000,7.817928
2001,7.552363
2002,7.5717835
2003,7.3357315
2004,7.5255384
2005,7.586022
2006,7.724513
2007,7.762623
2008,8.257497
2009,8.570196
2010,8.807657
2011,8.989022
2012,9.423264
2013,9.855674
2014,10.222232
2015,10.498747
2016,10.930195
2017,11.355979
2018,11.741059
2019,12.2379875
2020,13.455194
2021,13.470907
